dt,AverageTemperature,State
19090105,20.055,Alabama
19090106,25.114,Alabama
19090107,26.286,Alabama
19090108,26.714,Alabama
19090109,23.447,Alabama
19090110,16.888,Alabama
19090111,14.923,Alabama
19090112,4.709,Alabama
19100101,7.126,Alabama
19100102,6.972,Alabama
19100103,15.82,Alabama
19100104,16.133,Alabama
19100105,20.08,Alabama
19100106,23.609,Alabama
19100107,25.509,Alabama
19100108,26.012,Alabama
19100109,24.689,Alabama
19100110,18.619,Alabama
19100111,10.532,Alabama
19100112,5.486,Alabama
19110101,9.906,Alabama
19110102,12.145,Alabama
19110103,14.168,Alabama
19110104,17.105,Alabama
19110105,22.191,Alabama
19110106,26.533,Alabama
19110107,25.125,Alabama
19110108,25.764,Alabama
19110109,26.318,Alabama
19110110,19.776,Alabama
19110111,9.956,Alabama
19110112,9.62,Alabama
19120101,4.501,Alabama
19120102,5.753,Alabama
19120103,11.273,Alabama
19120104,17.536,Alabama
19120105,21.795,Alabama
19120106,23.479,Alabama
19120107,26.088,Alabama
19120108,25.797,Alabama
19120109,24.584,Alabama
19120110,18.398,Alabama
19120111,10.06,Alabama
19120112,8.114,Alabama
19130101,10.71,Alabama
19130102,8.176,Alabama
19130103,12.677,Alabama
19130104,16.252,Alabama
19130105,21.295,Alabama
19130106,24.758,Alabama
19130107,26.875,Alabama
19130108,26.556,Alabama
19130109,22.454,Alabama
19130110,15.667,Alabama
19130111,13.066,Alabama
19130112,8.356,Alabama
19140101,8.253,Alabama
19140102,7.27,Alabama
19140103,10.088,Alabama
19140104,17.086,Alabama
19140105,21.486,Alabama
19140106,27.762,Alabama
19140107,27.1,Alabama
19140108,25.731,Alabama
19140109,22.489,Alabama
19140110,17.317,Alabama
19140111,11.239,Alabama
19140112,5.827,Alabama
19150101,5.931,Alabama
19150102,8.752,Alabama
19150103,7.995,Alabama
19150104,17.532,Alabama
19150105,22.943,Alabama
19150106,25.336,Alabama
19150107,26.421,Alabama
19150108,25.698,Alabama
19150109,24.405,Alabama
19150110,18.779,Alabama
19150111,13.356,Alabama
19150112,7.718,Alabama
19160101,10.854,Alabama
19160102,8.098,Alabama
19160103,12.026,Alabama
19160104,16.073,Alabama
19160105,22.456,Alabama
19160106,24.524,Alabama
19160107,25.555,Alabama
19160108,26.249,Alabama
19160109,22.728,Alabama
19160110,17.474,Alabama
19160111,11.986,Alabama
19160112,7.98,Alabama
19170101,9.659,Alabama
19170102,8.72,Alabama
19170103,13.47,Alabama
19170104,17.18,Alabama
19170105,18.439,Alabama
19170106,24.732,Alabama
19170107,26.02,Alabama
19170108,25.292,Alabama
19170109,22.414,Alabama
19170110,14.169,Alabama
19170111,10.271,Alabama
19170112,4.041,Alabama
19180101,2.733,Alabama
19180102,11.486,Alabama
19180103,16.338,Alabama
19180104,15.583,Alabama
19180105,22.087,Alabama
19180106,25.906,Alabama
19180107,25.183,Alabama
19180108,26.482,Alabama
19180109,20.842,Alabama
19180110,19.839,Alabama
19180111,11.159,Alabama
19180112,9.781,Alabama
19190101,6.51,Alabama
19190102,8.353,Alabama
19190103,13.29,Alabama
19190104,16.453,Alabama
19190105,20.173,Alabama
19190106,25.178,Alabama
19190107,26.084,Alabama
19190108,25.907,Alabama
19190109,23.576,Alabama
19190110,22.621,Alabama
19190111,13.638,Alabama
19190112,8.053,Alabama
19200101,8.084,Alabama
19200102,7.62,Alabama
19200103,11.085,Alabama
19200104,16.262,Alabama
19200105,20.97,Alabama
19200106,24.412,Alabama
19200107,25.925,Alabama
19200108,25.05,Alabama
19200109,24.469,Alabama
19200110,17.335,Alabama
19200111,10.022,Alabama
19200112,6.978,Alabama
19210101,9.472,Alabama
19210102,10.02,Alabama
19210103,17.398,Alabama
19210104,16.292,Alabama
19210105,20.712,Alabama
19210106,26.393,Alabama
19210107,26.901,Alabama
19210108,26.399,Alabama
19210109,26.691,Alabama
19210110,16.43,Alabama
19210111,14.022,Alabama
19210112,10.073,Alabama
19220101,7.647,Alabama
19220102,11.749,Alabama
19220103,12.991,Alabama
19220104,18.631,Alabama
19220105,21.612,Alabama
19220106,25.393,Alabama
19220107,26.085,Alabama
19220108,25.531,Alabama
19220109,24.56,Alabama
19220110,17.706,Alabama
19220111,13.365,Alabama
19220112,11.618,Alabama
19230101,10.288,Alabama
19230102,8.103,Alabama
19230103,12.282,Alabama
19230104,16.652,Alabama
19230105,20.199,Alabama
19230106,24.374,Alabama
19230107,25.416,Alabama
19230108,25.69,Alabama
19230109,23.919,Alabama
19230110,16.728,Alabama
19230111,10.54,Alabama
19230112,11.644,Alabama
19240101,4.631,Alabama
19240102,7.629,Alabama
19240103,10.016,Alabama
19240104,16.591,Alabama
19240105,19.167,Alabama
19240106,25.892,Alabama
19240107,26.025,Alabama
19240108,27.208,Alabama
19240109,21.93,Alabama
19240110,17.21,Alabama
19240111,12.515,Alabama
19240112,8.285,Alabama
19250101,8.1,Alabama
19250102,11.117,Alabama
19250103,13.938,Alabama
19250104,19.192,Alabama
19250105,20.364,Alabama
19250106,26.577,Alabama
19250107,27.17,Alabama
19250108,26.449,Alabama
19250109,27.783,Alabama
19250110,17.562,Alabama
19250111,10.778,Alabama
19250112,6.409,Alabama
19260101,6.349,Alabama
19260102,9.863,Alabama
19260103,9.36,Alabama
19260104,15.377,Alabama
19260105,20.774,Alabama
19260106,24.737,Alabama
19260107,25.838,Alabama
19260108,26.547,Alabama
19260109,25.634,Alabama
19260110,18.498,Alabama
19260111,9.482,Alabama
19260112,9.831,Alabama
19270101,8.532,Alabama
19270102,13.886,Alabama
19270103,13.252,Alabama
19270104,19.175,Alabama
19270105,22.139,Alabama
19270106,25.025,Alabama
19270107,26.575,Alabama
19270108,25.208,Alabama
19270109,24.634,Alabama
19270110,18.702,Alabama
19270111,14.725,Alabama
19270112,7.53,Alabama
19280101,6.461,Alabama
19280102,8.311,Alabama
19280103,12.805,Alabama
19280104,14.774,Alabama
19280105,20.178,Alabama
19280106,23.97,Alabama
19280107,26.555,Alabama
19280108,26.661,Alabama
19280109,22.275,Alabama
19280110,19.094,Alabama
19280111,11.088,Alabama
19280112,7.531,Alabama
19290101,8.632,Alabama
19290102,7.224,Alabama
19290103,14.714,Alabama
19290104,18.643,Alabama
19290105,21.282,Alabama
19290106,24.499,Alabama
19290107,26.157,Alabama
19290108,26.186,Alabama
19290109,23.114,Alabama
19290110,16.411,Alabama
19290111,11.8,Alabama
19290112,6.769,Alabama
19300101,6.993,Alabama
19300102,11.584,Alabama
19300103,10.817,Alabama
19300104,17.718,Alabama
19300105,21.984,Alabama
19300106,24.493,Alabama
19300107,28.113,Alabama
19300108,25.89,Alabama
19300109,24.375,Alabama
19300110,16.036,Alabama
19300111,11.427,Alabama
19300112,5.756,Alabama
19310101,6.437,Alabama
19310102,9.259,Alabama
19310103,9.521,Alabama
19310104,15.655,Alabama
19310105,19.664,Alabama
19310106,25.956,Alabama
19310107,27.171,Alabama
19310108,25.079,Alabama
19310109,25.722,Alabama
19310110,19.202,Alabama
19310111,15.248,Alabama
19310112,12.398,Alabama
19320101,11.037,Alabama
19320102,13.799,Alabama
19320103,10.443,Alabama
19320104,17.417,Alabama
19320105,20.512,Alabama
19320106,25.688,Alabama
19320107,27.802,Alabama
19320108,26.64,Alabama
19320109,23.207,Alabama
19320110,16.349,Alabama
19320111,9.398,Alabama
19320112,9.361,Alabama
19330101,10.682,Alabama
19330102,8.776,Alabama
19330103,12.691,Alabama
19330104,16.394,Alabama
19330105,23.829,Alabama
19330106,25.313,Alabama
19330107,25.96,Alabama
19330108,26.228,Alabama
19330109,25.797,Alabama
19330110,18.175,Alabama
19330111,11.971,Alabama
19330112,12.548,Alabama
19340101,9.055,Alabama
19340102,6.53,Alabama
19340103,11.793,Alabama
19340104,17.172,Alabama
19340105,21.494,Alabama
19340106,26.018,Alabama
19340107,27.212,Alabama
19340108,26.739,Alabama
19340109,23.281,Alabama
19340110,18.494,Alabama
19340111,13.193,Alabama
19340112,7.103,Alabama
19350101,8.159,Alabama
19350102,9.004,Alabama
19350103,15.86,Alabama
19350104,17.223,Alabama
19350105,21.926,Alabama
19350106,24.424,Alabama
19350107,26.822,Alabama
19350108,27.025,Alabama
19350109,23.191,Alabama
19350110,18.525,Alabama
19350111,12.522,Alabama
19350112,3.899,Alabama
19360101,6.063,Alabama
19360102,6.738,Alabama
19360103,14.529,Alabama
19360104,15.834,Alabama
19360105,22.276,Alabama
19360106,26.613,Alabama
19360107,27.158,Alabama
19360108,26.726,Alabama
19360109,25.231,Alabama
19360110,18.486,Alabama
19360111,10.89,Alabama
19360112,9.169,Alabama
19370101,13.631,Alabama
19370102,8.476,Alabama
19370103,11.056,Alabama
19370104,16.564,Alabama
19370105,21.984,Alabama
19370106,26.155,Alabama
19370107,26.157,Alabama
19370108,26.719,Alabama
19370109,22.513,Alabama
19370110,16.251,Alabama
19370111,10.041,Alabama
19370112,7.382,Alabama
19380101,7.867,Alabama
19380102,12.073,Alabama
19380103,16.678,Alabama
19380104,17.01,Alabama
19380105,22.054,Alabama
19380106,24.565,Alabama
19380107,26.396,Alabama
19380108,27.117,Alabama
19380109,23.381,Alabama
19380110,18.153,Alabama
19380111,12.607,Alabama
19380112,7.646,Alabama
19390101,9.318,Alabama
19390102,10.876,Alabama
19390103,14.365,Alabama
19390104,16.14,Alabama
19390105,20.988,Alabama
19390106,25.653,Alabama
19390107,26.722,Alabama
19390108,25.512,Alabama
19390109,24.708,Alabama
19390110,18.551,Alabama
19390111,10.543,Alabama
19390112,8.756,Alabama
19400101,0.137,Alabama
19400102,6.886,Alabama
19400103,12.144,Alabama
19400104,16.048,Alabama
19400105,19.865,Alabama
19400106,24.636,Alabama
19400107,25.534,Alabama
19400108,26.426,Alabama
19400109,22.466,Alabama
19400110,17.986,Alabama
19400111,11.761,Alabama
19400112,10.151,Alabama
19410101,7.991,Alabama
19410102,5.952,Alabama
19410103,9.613,Alabama
19410104,18.062,Alabama
19410105,22.416,Alabama
19410106,25.524,Alabama
19410107,26.639,Alabama
19410108,26.789,Alabama
19410109,25.066,Alabama
19410110,21.443,Alabama
19410111,11.491,Alabama
19410112,9.384,Alabama
19420101,5.865,Alabama
19420102,6.248,Alabama
19420103,12.262,Alabama
19420104,17.366,Alabama
19420105,21.266,Alabama
19420106,25.459,Alabama
19420107,26.92,Alabama
19420108,25.507,Alabama
19420109,22.506,Alabama
19420110,17.926,Alabama
19420111,13.366,Alabama
19420112,8.521,Alabama
19430101,8.674,Alabama
19430102,9.575,Alabama
19430103,11.549,Alabama
19430104,16.964,Alabama
19430105,22.832,Alabama
19430106,27.106,Alabama
19430107,27.281,Alabama
19430108,27.483,Alabama
19430109,22.044,Alabama
19430110,16.147,Alabama
19430111,10.448,Alabama
19430112,7.466,Alabama
19440101,7.394,Alabama
19440102,12.119,Alabama
19440103,13.363,Alabama
19440104,16.299,Alabama
19440105,22.194,Alabama
19440106,26.713,Alabama
19440107,26.225,Alabama
19440108,26.003,Alabama
19440109,23.979,Alabama
19440110,17.033,Alabama
19440111,11.896,Alabama
19440112,6.767,Alabama
19450101,7.178,Alabama
19450102,10.626,Alabama
19450103,17.486,Alabama
19450104,18.341,Alabama
19450105,20.062,Alabama
19450106,25.492,Alabama
19450107,26.246,Alabama
19450108,26.235,Alabama
19450109,24.956,Alabama
19450110,16.821,Alabama
19450111,13.186,Alabama
19450112,4.839,Alabama
19460101,8.159,Alabama
19460102,9.815,Alabama
19460103,15.59,Alabama
19460104,18.587,Alabama
19460105,20.842,Alabama
19460106,24.232,Alabama
19460107,25.933,Alabama
19460108,25.204,Alabama
19460109,22.48,Alabama
19460110,17.54,Alabama
19460111,15.191,Alabama
19460112,10.219,Alabama
19470101,9.705,Alabama
19470102,5.047,Alabama
19470103,9.291,Alabama
19470104,18.155,Alabama
19470105,20.719,Alabama
19470106,24.709,Alabama
19470107,24.869,Alabama
19470108,27.015,Alabama
19470109,24.383,Alabama
19470110,20.371,Alabama
19470111,11.056,Alabama
19470112,8.467,Alabama
19480101,3.781,Alabama
19480102,10.147,Alabama
19480103,14.557,Alabama
19480104,19.179,Alabama
19480105,21.755,Alabama
19480106,25.929,Alabama
19480107,26.903,Alabama
19480108,25.789,Alabama
19480109,22.541,Alabama
19480110,16.068,Alabama
19480111,13.438,Alabama
19480112,10.109,Alabama
19490101,11.833,Alabama
19490102,11.732,Alabama
19490103,12.342,Alabama
19490104,16.303,Alabama
19490105,22.278,Alabama
19490106,25.162,Alabama
19490107,26.81,Alabama
19490108,26.024,Alabama
19490109,22.487,Alabama
19490110,20.465,Alabama
19490111,11.232,Alabama
19490112,9.511,Alabama
19500101,14.996,Alabama
19500102,11.922,Alabama
19500103,11.501,Alabama
19500104,15.056,Alabama
19500105,23.116,Alabama
19500106,25.372,Alabama
19500107,25.405,Alabama
19500108,25.12,Alabama
19500109,22.398,Alabama
19500110,18.966,Alabama
19500111,9.467,Alabama
19500112,5.402,Alabama
19510101,8.448,Alabama
19510102,9.636,Alabama
19510103,13.54,Alabama
19510104,16.032,Alabama
19510105,21.162,Alabama
19510106,25.782,Alabama
19510107,27.119,Alabama
19510108,27.937,Alabama
19510109,24.253,Alabama
19510110,18.882,Alabama
19510111,9.465,Alabama
19510112,10.085,Alabama
19520101,11.584,Alabama
19520102,10.776,Alabama
19520103,12.17,Alabama
19520104,16.097,Alabama
19520105,21.923,Alabama
19520106,27.817,Alabama
19520107,28.003,Alabama
19520108,26.616,Alabama
19520109,22.379,Alabama
19520110,14.349,Alabama
19520111,11.354,Alabama
19520112,7.679,Alabama
19530101,9.709,Alabama
19530102,9.626,Alabama
19530103,14.707,Alabama
19530104,15.922,Alabama
19530105,23.291,Alabama
19530106,27.018,Alabama
19530107,26.499,Alabama
19530108,26.201,Alabama
19530109,23.244,Alabama
19530110,18.471,Alabama
19530111,11.415,Alabama
19530112,7.168,Alabama
19540101,8.488,Alabama
19540102,11.323,Alabama
19540103,12.383,Alabama
19540104,19.637,Alabama
19540105,19.067,Alabama
19540106,26.146,Alabama
19540107,28.143,Alabama
19540108,28.545,Alabama
19540109,25.679,Alabama
19540110,18.48,Alabama
19540111,10.772,Alabama
19540112,7.269,Alabama
19550101,6.922,Alabama
19550102,9.648,Alabama
19550103,14.891,Alabama
19550104,18.988,Alabama
19550105,22.994,Alabama
19550106,23.098,Alabama
19550107,26.73,Alabama
19550108,26.987,Alabama
19550109,24.97,Alabama
19550110,16.811,Alabama
19550111,11.344,Alabama
19550112,7.967,Alabama
19560101,5.938,Alabama
19560102,12.08,Alabama
19560103,12.751,Alabama
19560104,16.249,Alabama
19560105,22.994,Alabama
19560106,24.695,Alabama
19560107,26.666,Alabama
19560108,26.895,Alabama
19560109,22.476,Alabama
19560110,18.495,Alabama
19560111,10.925,Alabama
19560112,12.456,Alabama
19570101,9.258,Alabama
19570102,13.635,Alabama
19570103,11.752,Alabama
19570104,18.335,Alabama
19570105,22.206,Alabama
19570106,25.788,Alabama
19570107,26.702,Alabama
19570108,26.42,Alabama
19570109,23.404,Alabama
19570110,15.411,Alabama
19570111,13.065,Alabama
19570112,8.865,Alabama
19580101,4.574,Alabama
19580102,3.741,Alabama
19580103,10.8,Alabama
19580104,17.403,Alabama
19580105,21.695,Alabama
19580106,25.615,Alabama
19580107,26.392,Alabama
19580108,26.204,Alabama
19580109,24.082,Alabama
19580110,16.911,Alabama
19580111,13.59,Alabama
19580112,6.241,Alabama
19590101,6.344,Alabama
19590102,9.894,Alabama
19590103,11.479,Alabama
19590104,16.905,Alabama
19590105,22.821,Alabama
19590106,24.94,Alabama
19590107,26.639,Alabama
19590108,26.896,Alabama
19590109,23.932,Alabama
19590110,19.119,Alabama
19590111,11.086,Alabama
19590112,8.533,Alabama
19600101,7.173,Alabama
19600102,7.022,Alabama
19600103,7.631,Alabama
19600104,17.858,Alabama
19600105,20.071,Alabama
19600106,25.36,Alabama
19600107,27.394,Alabama
19600108,26.404,Alabama
19600109,23.868,Alabama
19600110,18.567,Alabama
19600111,12.273,Alabama
19600112,5.743,Alabama
19610101,4.301,Alabama
19610102,11.273,Alabama
19610103,14.456,Alabama
19610104,15.016,Alabama
19610105,20.049,Alabama
19610106,23.52,Alabama
19610107,25.722,Alabama
19610108,25.406,Alabama
19610109,23.765,Alabama
19610110,16.818,Alabama
19610111,13.337,Alabama
19610112,8.548,Alabama
19620101,6.106,Alabama
19620102,13.138,Alabama
19620103,10.746,Alabama
19620104,15.63,Alabama
19620105,24.208,Alabama
19620106,25.193,Alabama
19620107,27.319,Alabama
19620108,26.94,Alabama
19620109,23.797,Alabama
19620110,18.75,Alabama
19620111,10.973,Alabama
19620112,6.314,Alabama
19630101,4.234,Alabama
19630102,5.685,Alabama
19630103,14.853,Alabama
19630104,18.815,Alabama
19630105,22.172,Alabama
19630106,25.254,Alabama
19630107,25.863,Alabama
19630108,26.514,Alabama
19630109,23.083,Alabama
19630110,18.871,Alabama
19630111,12.082,Alabama
19630112,3.331,Alabama
19640101,6.09,Alabama
19640102,6.105,Alabama
19640103,12.569,Alabama
19640104,18.4,Alabama
19640105,22.009,Alabama
19640106,26.016,Alabama
19640107,25.906,Alabama
19640108,25.879,Alabama
19640109,23.824,Alabama
19640110,15.561,Alabama
19640111,13.871,Alabama
19640112,9.282,Alabama
19650101,8.236,Alabama
19650102,8.11,Alabama
19650103,10.943,Alabama
19650104,19.073,Alabama
19650105,22.773,Alabama
19650106,24.517,Alabama
19650107,26.246,Alabama
19650108,26.043,Alabama
19650109,24.028,Alabama
19650110,16.877,Alabama
19650111,14.171,Alabama
19650112,8.519,Alabama
19660101,4.711,Alabama
19660102,8.324,Alabama
19660103,12.141,Alabama
19660104,17.513,Alabama
19660105,21.023,Alabama
19660106,23.849,Alabama
19660107,27.502,Alabama
19660108,25.578,Alabama
19660109,23.042,Alabama
19660110,16.58,Alabama
19660111,12.876,Alabama
19660112,7.951,Alabama
19670101,7.813,Alabama
19670102,7.133,Alabama
19670103,15.21,Alabama
19670104,20.058,Alabama
19670105,20.76,Alabama
19670106,24.898,Alabama
19670107,24.802,Alabama
19670108,24.392,Alabama
19670109,20.79,Alabama
19670110,16.231,Alabama
19670111,10.698,Alabama
19670112,10.494,Alabama
19680101,6.039,Alabama
19680102,4.791,Alabama
19680103,11.562,Alabama
19680104,17.866,Alabama
19680105,20.926,Alabama
19680106,25.608,Alabama
19680107,26.3,Alabama
19680108,26.725,Alabama
19680109,22.705,Alabama
19680110,17.793,Alabama
19680111,10.926,Alabama
19680112,6.243,Alabama
19690101,6.702,Alabama
19690102,8.01,Alabama
19690103,9.082,Alabama
19690104,17.932,Alabama
19690105,21.377,Alabama
19690106,25.815,Alabama
19690107,27.654,Alabama
19690108,25.407,Alabama
19690109,22.577,Alabama
19690110,18.005,Alabama
19690111,10.578,Alabama
19690112,6.779,Alabama
19700101,3.739,Alabama
19700102,7.219,Alabama
19700103,11.957,Alabama
19700104,18.911,Alabama
19700105,21.887,Alabama
19700106,24.436,Alabama
19700107,26.36,Alabama
19700108,26.543,Alabama
19700109,25.584,Alabama
19700110,18.144,Alabama
19700111,10.15,Alabama
19700112,10.063,Alabama
19710101,7.63,Alabama
19710102,8.051,Alabama
19710103,10.414,Alabama
19710104,16.507,Alabama
19710105,19.652,Alabama
19710106,25.941,Alabama
19710107,25.939,Alabama
19710108,25.781,Alabama
19710109,24.378,Alabama
19710110,20.126,Alabama
19710111,11.707,Alabama
19710112,12.979,Alabama
19720101,9.881,Alabama
19720102,8.64,Alabama
19720103,13.304,Alabama
19720104,17.784,Alabama
19720105,20.828,Alabama
19720106,24.269,Alabama
19720107,25.744,Alabama
19720108,26.508,Alabama
19720109,25.388,Alabama
19720110,17.587,Alabama
19720111,10.861,Alabama
19720112,9.729,Alabama
19730101,6.586,Alabama
19730102,7.378,Alabama
19730103,15.802,Alabama
19730104,15.802,Alabama
19730105,20.185,Alabama
19730106,25.34,Alabama
19730107,26.97,Alabama
19730108,25.639,Alabama
19730109,24.995,Alabama
19730110,19.472,Alabama
19730111,14.675,Alabama
19730112,8.004,Alabama
19740101,12.925,Alabama
19740102,9.084,Alabama
19740103,15.914,Alabama
19740104,16.891,Alabama
19740105,22.473,Alabama
19740106,23.44,Alabama
19740107,26.33,Alabama
19740108,25.738,Alabama
19740109,21.959,Alabama
19740110,15.957,Alabama
19740111,11.923,Alabama
19740112,8.375,Alabama
19750101,9.683,Alabama
19750102,10.836,Alabama
19750103,12.37,Alabama
19750104,16.302,Alabama
19750105,22.767,Alabama
19750106,24.953,Alabama
19750107,25.947,Alabama
19750108,26.232,Alabama
19750109,21.773,Alabama
19750110,18.167,Alabama
19750111,12.855,Alabama
19750112,7.633,Alabama
19760101,5.089,Alabama
19760102,11.981,Alabama
19760103,14.981,Alabama
19760104,17.359,Alabama
19760105,19.025,Alabama
19760106,24.058,Alabama
19760107,26.201,Alabama
19760108,25.493,Alabama
19760109,22.661,Alabama
19760110,14.654,Alabama
19760111,8.135,Alabama
19760112,5.936,Alabama
19770101,1.106,Alabama
19770102,7.615,Alabama
19770103,14.61,Alabama
19770104,18.533,Alabama
19770105,22.647,Alabama
19770106,26.586,Alabama
19770107,27.805,Alabama
19770108,26.913,Alabama
19770109,24.737,Alabama
19770110,16.021,Alabama
19770111,13.666,Alabama
19770112,7.426,Alabama
19780101,2.345,Alabama
19780102,4.011,Alabama
19780103,11.081,Alabama
19780104,17.963,Alabama
19780105,21.546,Alabama
19780106,25.951,Alabama
19780107,27.431,Alabama
19780108,26.719,Alabama
19780109,25.303,Alabama
19780110,17.076,Alabama
19780111,15.4,Alabama
19780112,8.393,Alabama
19790101,3.597,Alabama
19790102,6.661,Alabama
19790103,13.569,Alabama
19790104,17.837,Alabama
19790105,21.223,Alabama
19790106,24.471,Alabama
19790107,26.453,Alabama
19790108,26.2,Alabama
19790109,22.963,Alabama
19790110,17.178,Alabama
19790111,11.938,Alabama
19790112,7.807,Alabama
19800101,8.452,Alabama
19800102,6.275,Alabama
19800103,11.83,Alabama
19800104,16.182,Alabama
19800105,21.644,Alabama
19800106,25.623,Alabama
19800107,28.518,Alabama
19800108,27.945,Alabama
19800109,25.961,Alabama
19800110,16.036,Alabama
19800111,11.487,Alabama
19800112,7.489,Alabama
19810101,4.512,Alabama
19810102,8.765,Alabama
19810103,11.67,Alabama
19810104,19.657,Alabama
19810105,20.079,Alabama
19810106,26.991,Alabama
19810107,27.835,Alabama
19810108,26.124,Alabama
19810109,22.388,Alabama
19810110,16.851,Alabama
19810111,13,Alabama
19810112,6.465,Alabama
19820101,6.252,Alabama
19820102,9.311,Alabama
19820103,14.984,Alabama
19820104,16.085,Alabama
19820105,22.511,Alabama
19820106,25.095,Alabama
19820107,26.813,Alabama
19820108,26.26,Alabama
19820109,22.71,Alabama
19820110,17.977,Alabama
19820111,13.225,Alabama
19820112,11.481,Alabama
19830101,5.847,Alabama
19830102,8.351,Alabama
19830103,11.498,Alabama
19830104,14.523,Alabama
19830105,20.742,Alabama
19830106,23.963,Alabama
19830107,27.357,Alabama
19830108,27.684,Alabama
19830109,22.576,Alabama
19830110,18.006,Alabama
19830111,12.104,Alabama
19830112,5.577,Alabama
19840101,4.83,Alabama
19840102,9.397,Alabama
19840103,12.372,Alabama
19840104,16.363,Alabama
19840105,20.863,Alabama
19840106,25.409,Alabama
19840107,25.982,Alabama
19840108,25.602,Alabama
19840109,22.815,Alabama
19840110,20.939,Alabama
19840111,11.335,Alabama
19840112,12.915,Alabama
19850101,3.203,Alabama
19850102,7.745,Alabama
19850103,15.086,Alabama
19850104,18.047,Alabama
19850105,21.898,Alabama
19850106,25.663,Alabama
19850107,26.213,Alabama
19850108,26.163,Alabama
19850109,22.98,Alabama
19850110,20.045,Alabama
19850111,16.604,Alabama
19850112,5.593,Alabama
19860101,6.436,Alabama
19860102,11.081,Alabama
19860103,13.234,Alabama
19860104,17.268,Alabama
19860105,22.332,Alabama
19860106,26.534,Alabama
19860107,28.343,Alabama
19860108,26.17,Alabama
19860109,25.014,Alabama
19860110,18.16,Alabama
19860111,15.093,Alabama
19860112,7.939,Alabama
19870101,6.278,Alabama
19870102,9.131,Alabama
19870103,13.353,Alabama
19870104,15.846,Alabama
19870105,23.343,Alabama
19870106,25.398,Alabama
19870107,27.095,Alabama
19870108,27.761,Alabama
19870109,23.491,Alabama
19870110,14.435,Alabama
19870111,13.404,Alabama
19870112,10.309,Alabama
19880101,4.928,Alabama
19880102,7.642,Alabama
19880103,12.644,Alabama
19880104,17.337,Alabama
19880105,20.561,Alabama
19880106,25.415,Alabama
19880107,26.485,Alabama
19880108,27.229,Alabama
19880109,23.96,Alabama
19880110,15.294,Alabama
19880111,13.84,Alabama
19880112,8.298,Alabama
19890101,10.414,Alabama
19890102,9.05,Alabama
19890103,14.297,Alabama
19890104,16.356,Alabama
19890105,20.758,Alabama
19890106,24.884,Alabama
19890107,26.246,Alabama
